bin	group	depth	enzyme	abundance
OSU_TB02	Group3b	115.0	enolases	0.42709
OSU_TB04	Group4	155.0	enolases	0.237718
OSU_TB05	Group1a	250.0	enolases	3.22043
OSU_TB06	Group2	250.0	enolases	2.12139
OSU_TB07	Group3a	250.0	enolases	0.598404
OSU_TB08	Group5	250.0	enolases	0
OSU_TB09	Group3a	800.0	enolases	0.117925
OSU_TB10	Group2	790.0	enolases	1.44193
OSU_TB11	Group5	790.0	enolases	0.105708
OSU_TB12	Group2	790.0	enolases	1.52905
OSU_TB13	Group3a	1000.0	enolases	0.0806777
OSU_TB14	Group3a	850.0	enolases	0.114416
OSU_TB15	Group2	270.0	enolases	1.30919
OSU_TB16	Group3b	120.0	enolases	0.389712
OSU_TB17	Group3a	640.0	enolases	0.080289
OSU_TB18	Group4	80.0	enolases	0.322789
OSU_TB19	Group3b	80.0	enolases	0.355114
OSU_TB20	Group1b	80.0	enolases	2.40192
OSU_TB21	Group2	600.0	enolases	1.37525
OSU_TB22	Group3a	600.0	enolases	0.0665336
OSU_TB23	Group1a	600.0	enolases	2.17042
OSU_TB24	Group3a	696.0	enolases	0.117096
OSU_TB25	Group3a	696.0	enolases	0.0854336
OSU_TB26	Group2	696.0	enolases	1.19357
OSU_TB27	Group2	696.0	enolases	2.70636
OSU_TB28	Group3a	488.0	enolases	0.0825764
OSU_TB29	Group3a	350.0	enolases	0.0498504
OSU_TB30	Group2	350.0	enolases	0.430663
OSU_TB31	Group3b	120.0	enolases	0.537634
OSU_TB32	Group1b	50.0	enolases	2.17729
OSU_TB33	Group1a	80.0	enolases	2.94397
OSU_TB34	Group1c	80.0	enolases	2.5572
OSU_TB35	Group2	80.0	enolases	0.413223
OSU_TB36	Group2	80.0	enolases	0.862069
OSU_TB38	Group3a	60.0	enolases	0.0817327
OSU_TB39	Group2	60.0	enolases	0.317125
OSU_TB40	Group1a	60.0	enolases	3.48198
OSU_TB42	Group3b	60.0	enolases	0.280112
OSU_TB43	Group1b	60.0	enolases	2.5498
OSU_TB44	Group1a	650.0	enolases	2.98851
OSU_TB45	Group3b	150.0	enolases	0.439975
OSU_TB46	Group4	150.0	enolases	0.437956
OSU_TB47	Group3a	800.0	enolases	0.0778513
OSU_TB48	Group3a	790.0	enolases	0.0837521
OSU_TB49	Group1b	80.0	enolases	2.71318
OSU_TB50	Group1b	5.0	enolases	2.0915
OSU_TB51	Group2	150.0	enolases	0.449102
OSU_TB52	Group3a	800.0	enolases	0
OSU_TB53	Group5	140.0	enolases	0
OSU_TB54	Group3b	140.0	enolases	0.334896
OSU_TB55	Group5	140.0	enolases	0.0731529
OSU_TB56	Group2	140.0	enolases	0.152788
OSU_TB57	Group5	140.0	enolases	0.367918
OSU_TB58	Group1b	140.0	enolases	2.43493
OSU_TB59	Group3a	140.0	enolases	0.0780031
OSU_TB60	Group1b	150.0	enolases	2.25188
OSU_TB61	Group3a	1000.0	enolases	0.083091
OSU_TB62	Group4	80.0	enolases	0.184729
OSU_TB63	Group1a	150.0	enolases	3.64964
OSU_TB64	Group1b	120.0	enolases	2.42165
OSU_TB65	Group3a	375.0	enolases	0.066291
OSU_ZL01	Group3a	800.0	enolases	0
OSU_ZL02	Group3a	800.0	enolases	0.186047
OSU_ZL03	Group3a	770.0	enolases	0
OSU_ZL04	Group3a	770.0	enolases	0
OSU_ZL05	Group5	511.0	enolases	0.382166
UM_GB_B1	Group3a	2000.0	enolases	0.103377
USC_TB66	Group1b	unknown	enolases	2.2946
USC_TB67	Group2	unknown	enolases	0.675676
USC_TB68	Group1b	unknown	enolases	2.08136
USC_TB69	Group1b	unknown	enolases	2.00861
USC_TB70	Group2	unknown	enolases	0.234926
USC_TB71	Group1a	unknown	enolases	3.01624
USC_TB72	Group1b	unknown	enolases	2.24252
USC_TB74	Group2	unknown	enolases	1.49875
USC_TB75	Group1a	unknown	enolases	2.94985
USC_TB76	Group2	unknown	enolases	0.198216
USC_TB78	Group2	unknown	enolases	0.391389
USC_TB79	Group2	unknown	enolases	0.639659
USC_TB80	Group1a	unknown	enolases	3.0303
USC_TB81	Group2	unknown	enolases	0.112275
USC_TB82	Group1c	unknown	enolases	2.58706
USC_TB84	Group2	unknown	enolases	0.369914
USC_TB85	Group1b	unknown	enolases	2.16551
USC_TB86	Group1a	unknown	enolases	2.53046
USC_TB87	Group1b	unknown	enolases	2.20365
USC_TB88	Group4	unknown	enolases	0.634417
USC_TB89	Group4	unknown	enolases	0.155885
USC_TB90	Group1a	unknown	enolases	2.96736
USC_TB91	Group2	unknown	enolases	0.628931
USC_TB92	Group1a	unknown	enolases	3.56915
USC_TB93	Group1a	unknown	enolases	2.76198
USC_TB94	Group5	unknown	enolases	0
LSU_GOM1	Group1a	30.0	RHDs	0
LSU_GOM2	Group1a	30.0	RHDs	0
MPMJ01	Group4	5.0	RHDs	1.96203
MPMM01	Group3a	5.0	RHDs	0.122549
MPNC01	Group3a	5.0	RHDs	0.12815
MPND01	Group2	5.0	RHDs	0.0454545
MPNN01	Group1a	5.0	RHDs	0.0345304
OSU_BB01	Group2	200.0	RHDs	0
OSU_BB02	Group1a	200.0	RHDs	0
OSU_BB03	Group1b	80.0	RHDs	0
OSU_BB04	Group1a	200.0	RHDs	0
OSU_BB05	Group2	200.0	RHDs	0
OSU_BB06	Group1b	0.0	RHDs	0
OSU_BB07	Group2	80.0	RHDs	0
OSU_BB08	Group1a	200.0	RHDs	0
OSU_BB09	Group2	200.0	RHDs	0
OSU_BB10	Group3a	200.0	RHDs	0.231348
OSU_BB11	Group3a	200.0	RHDs	0.0580046
OSU_NS01	Group4	193.0	RHDs	0
OSU_NS02	Group5	200.0	RHDs	0.470219
OSU_NS03	Group3a	200.0	RHDs	0.280636
OSU_NS04	Group2	200.0	RHDs	0
OSU_NS05	Group1a	200.0	RHDs	0
OSU_NS06	Group3c	500.0	RHDs	0.18226
OSU_NS07	Group1a	10900.0	RHDs	0
OSU_NS08	Group3c	754.0	RHDs	0
OSU_NS09	Group5	505.0	RHDs	0
OSU_NS10	Group2	505.0	RHDs	0
OSU_TB01	Group1a	115.0	RHDs	0
OSU_TB02	Group3b	115.0	RHDs	0
OSU_TB04	Group4	155.0	RHDs	0
OSU_TB05	Group1a	250.0	RHDs	0.0555247
OSU_TB06	Group2	250.0	RHDs	0
OSU_TB07	Group3a	250.0	RHDs	0.0664894
OSU_TB08	Group5	250.0	RHDs	0.127065
OSU_TB09	Group3a	800.0	RHDs	0.393082
OSU_TB10	Group2	790.0	RHDs	0.0389712
OSU_TB11	Group5	790.0	RHDs	2.64271
OSU_TB12	Group2	790.0	RHDs	0
OSU_TB13	Group3a	1000.0	RHDs	0.282372
OSU_TB14	Group3a	850.0	RHDs	0.400458
OSU_TB15	Group2	270.0	RHDs	0
OSU_TB16	Group3b	120.0	RHDs	0
OSU_TB17	Group3a	640.0	RHDs	0.361301
OSU_TB18	Group4	80.0	RHDs	0
OSU_TB19	Group3b	80.0	RHDs	0
OSU_TB20	Group1b	80.0	RHDs	0
OSU_TB21	Group2	600.0	RHDs	0.0561325
OSU_TB22	Group3a	600.0	RHDs	0.299401
OSU_TB23	Group1a	600.0	RHDs	0
OSU_TB24	Group3a	696.0	RHDs	0.39032
OSU_TB25	Group3a	696.0	RHDs	0.299018
OSU_TB26	Group2	696.0	RHDs	0
OSU_TB27	Group2	696.0	RHDs	0
OSU_TB28	Group3a	488.0	RHDs	0.247729
OSU_TB29	Group3a	350.0	RHDs	0.398804
OSU_TB30	Group2	350.0	RHDs	0
OSU_TB31	Group3b	120.0	RHDs	0
OSU_TB32	Group1b	50.0	RHDs	0
OSU_TB33	Group1a	80.0	RHDs	0
OSU_TB34	Group1c	80.0	RHDs	0
OSU_TB35	Group2	80.0	RHDs	0
OSU_TB36	Group2	80.0	RHDs	0.0718391
